Aug 02 11:37:12 pve-3 kernel: pvestatd[1310]: segfault at 6a61a4fd ip 000063ecb120da9b sp 00007ffd42abc220 error 4 in perl[18ea9b,63ecb10c3000+1ae000] likely on CPU 6 (core 12, socket 0)
Aug 02 19:56:26 pve-3 kernel: qm[4374]: segfault at 11 ip 00005c1979f9caa0 sp 00007ffe77702c50 error 6 in perl[102aa0,5c1979ede000+1ae000] likely on CPU 6 (core 12, socket 0)
Aug 02 19:56:31 pve-3 kernel: qm[4389]: segfault at 20 ip 00005e00df59d72f sp 00007ffd717961f0 error 4 in perl[19872f,5e00df449000+1ae000] likely on CPU 6 (core 12, socket 0)
Aug 02 19:56:39 pve-3 kernel: qm[4413]: segfault at 89 ip 000056a5e6414aa0 sp 00007ffda36876d0 error 6 in perl[102aa0,56a5e6356000+1ae000] likely on CPU 6 (core 12, socket 0)
Aug 02 20:07:36 pve-3 kernel: qm[5402]: segfault at 28 ip 000057714c9f772f sp 00007ffc63fb3290 error 4 in perl[19872f,57714c8a3000+1ae000] likely on CPU 6 (core 12, socket 0)
Aug 03 00:42:29 pve-3 kernel: pveproxy[28837]: segfault at 23 ip 000056de5ce3db6f sp 00007ffedd18e0e0 error 4 in perl[105b6f,56de5cd7c000+1ae000] likely on CPU 6 (core 12, socket 0)
Aug 03 00:42:29 pve-3 kernel: spiceproxy[28840]: segfault at e ip 00005f414e00ab6f sp 00007ffd29bc38c0 error 4 in perl[105b6f,5f414df49000+1ae000] likely on CPU 6 (core 12, socket 0)
Aug 04 04:01:55 pve-3 kernel: pveupdate[168254]: segfault at 60 ip 00005cf67662f72f sp 00007ffd6df1ef50 error 4 in perl[19872f,5cf6764db000+1ae000] likely on CPU 7 (core 12, socket 0)
Aug 06 01:39:29 pve-3 kernel: pveupdate[401145]: segfault at 1b ip 000060949ae6cb6f sp 00007ffe720bba20 error 4 in perl[105b6f,60949adab000+1ae000] likely on CPU 6 (core 12, socket 0)
Aug 06 20:03:27 pve-3 kernel: qm[495175]: segfault at 10 ip 00005735d2053b6f sp 00007ffdaf3f8cb0 error 4 in perl[105b6f,5735d1f92000+1ae000] likely on CPU 6 (core 12, socket 0)
Aug 11 01:44:19 pve-3 kernel: pveupdate[1036063]: segfault at 9 ip 0000576eec332aa0 sp 00007ffe8ac71180 error 6 in perl[102aa0,576eec274000+1ae000] likely on CPU 6 (core 12, socket 0)
Aug 12 04:21:55 pve-3 kernel: pveupdate[1172113]: segfault at 1d ip 000057059889ab6f sp 00007fff3f55b890 error 4 in perl[105b6f,5705987d9000+1ae000] likely on CPU 6 (core 12, socket 0)
Aug 13 05:14:19 pve-3 kernel: pveupdate[1299440]: segfault at 91 ip 0000605c5cf4daa0 sp 00007ffda266bdb0 error 6 in perl[102aa0,605c5ce8f000+1ae000] likely on CPU 6 (core 12, socket 0)
Aug 15 01:34:55 pve-3 kernel: pveupdate[1526778]: segfault at 22 ip 00005e463b4e472f sp 00007fff5814a510 error 4 in perl[19872f,5e463b390000+1ae000] likely on CPU 6 (core 12, socket 0)
Aug 16 02:59:19 pve-3 kernel: pveupdate[1657716]: segfault at 19 ip 00005d08d2bf4b6f sp 00007ffd8a37bc30 error 4 in perl[105b6f,5d08d2b33000+1ae000] likely on CPU 6 (core 12, socket 0)
Sep 03 03:35:29 pve-3 kernel: pveupdate[3882503]: segfault at 2b ip 00005c8d8496f72f sp 00007fff52c152c0 error 4 in perl[19872f,5c8d8481b000+1ae000] likely on CPU 6 (core 12, socket 0)
Sep 10 14:44:21 pve-3 kernel: pvestatd[1286]: segfault at 11 ip 000063b7b2f9daa0 sp 00007fff67eff950 error 6 in perl[102aa0,63b7b2edf000+1ae000] likely on CPU 7 (core 12, socket 0)
Sep 11 00:18:59 pve-3 kernel: spiceproxy[648117]: segfault at 21 ip 00005989a7564b6f sp 00007ffd43f6e500 error 4 in perl[105b6f,5989a74a3000+1ae000] likely on CPU 6 (core 12, socket 0)
Sep 11 00:19:00 pve-3 kernel: pve-ha-crm[648125]: segfault at 22 ip 00005e99b291eb6f sp 00007ffdb7539ba0 error 4 in perl[105b6f,5e99b285d000+1ae000] likely on CPU 6 (core 12, socket 0)
Sep 11 00:19:02 pve-3 kernel: pvedaemon[648150]: segfault at 9 ip 00005e2700c6d72f sp 00007ffdda960580 error 4 in perl[19872f,5e2700b19000+1ae000] likely on CPU 6 (core 12, socket 0)
Sep 11 00:19:32 pve-3 kernel: python3[796]: segfault at 8 ip 00000000005d7754 sp 00007ffd5d7bf128 error 4 in python3.13[1d7754,420000+31f000] likely on CPU 6 (core 12, socket 0)
Sep 11 00:19:34 pve-3 kernel: pvecm[1314]: segfault at 14 ip 000058ceb7e8ab6f sp 00007ffc1cd54160 error 4 in perl[105b6f,58ceb7dc9000+1ae000] likely on CPU 6 (core 12, socket 0)
Sep 11 00:19:35 pve-3 kernel: pvecm[1331]: segfault at 58 ip 000059972376872f sp 00007ffd11c8af80 error 4 in perl[19872f,599723614000+1ae000] likely on CPU 6 (core 12, socket 0)
Sep 11 00:19:36 pve-3 kernel: pvesh[1339]: segfault at 13a ip 000065398acf5aa0 sp 00007ffc22e9cdd0 error 6 in perl[102aa0,65398ac37000+1ae000] likely on CPU 6 (core 12, socket 0)
Sep 11 00:19:40 pve-3 kernel: pveproxy[1358]: segfault at 69 ip 0000597da62f872f sp 00007ffe7923ee20 error 4 in perl[19872f,597da61a4000+1ae000] likely on CPU 6 (core 12, socket 0)
Sep 11 00:19:41 pve-3 kernel: pveproxy[1362]: segfault at 9 ip 0000627c5c2f9aa0 sp 00007ffe16ee6500 error 6 in perl[102aa0,627c5c23b000+1ae000] likely on CPU 6 (core 12, socket 0)
Sep 11 00:19:42 pve-3 kernel: pvecm[1365]: segfault at 56 ip 00005a5ff071a72f sp 00007fff0264fc40 error 4 in perl[19872f,5a5ff05c6000+1ae000] likely on CPU 6 (core 12, socket 0)
Sep 11 00:19:52 pve-3 kernel: pve-bridge[1441]: segfault at 9 ip 00005b8d9c072aa0 sp 00007ffeb7875270 error 6 in perl[102aa0,5b8d9bfb4000+1ae000] likely on CPU 6 (core 12, socket 0)
